Titulo,Sku,Precio original,Precio Descuento,Precio Envio,Stock
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$720.00,$569.00,$99.00,263
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,151.00","$3,609.00",$99.00,3
"Memoria USB SanDisk Ultra Shift, 256GB, USB 3.0, Negro",DCZ410-256G-G46,$410.00,$269.00,$99.00,43
"Koblenz Batería de Reemplazo para No Break AB12, 12V, 9000mAh",46-4087-00-6,$744.00,$539.00,$99.00,16
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,296.00","$1,969.00",$99.00,84
"SSD Externo SanDisk Portable, 480GB, USB C, Negro",DSSDE30-480G-G25,"$1,404.00","$1,009.00",$99.00,19
"Procesador Intel Core i3-10100F, S-1200, 3.60GHz, Quad-Core, 6MB Caché (10ma Generación - Comet Lake)",BX8070110100F,"$1,203.00","$1,059.00",$99.00,22
"SSD Adata Premium NVMe, 2TB, PCI Express 4.0, M.2",APSFG-2T-CSUS,"$2,429.00","$1,899.00",$99.00,25
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,910.00","$2,549.00",$99.00,5
"MSI Audífonos Gamer con Micrófono Immerse GH30 V2 para PS4/Xbox/Nintendo/PC, Alámbrico, 1.5 Metros, 3.5mm, Negro",IMMERSE GH30 V2,$623.00,$464.00,$99.00,3
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,163.00",$869.00,$99.00,6
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,452.00","$1,279.00",$99.00,¡1
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$4,905.00","$3,889.00",Envío gratis,52
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,498.00","$2,109.00",$149.00,2
"Xbox Live, 6 Meses ― Producto Digital Descargable",6T-00007,$839.00,$689.00,Envío gratis,existencia
"HP Mochila Executive para Laptop 15.6"", Negro",6KD07AA,"$1,499.00","$1,039.00",$99.00,¡1
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,954.00","$2,619.00",$99.00,8
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,955.00","$3,059.00",$319.00,¡1
"Disco Duro Interno Western Digital WD Blue 2.5"", 2TB, SATA III, 6 Gbit/s, 5400RPM, 128MB Cache",WD20SPZX,"$1,407.00","$1,179.00",$99.00,82
"SSD Externo de Expansión Seagate Expansion Card, 2TB, para Xbox Series X|S",TJR2000400,"$6,579.00","$5,009.00",Envío gratis,19
"Monitor ASUS VA24EHE LED 23.8"", Full HD, Adaptive-Sync, FreeSync, 75Hz, HDMI, Negro",VA24EHE,"$2,543.00","$2,229.00",$144.00,97
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,473.00","$2,159.00",$99.00,13
"Balam Rush Webcam Stelar CW750, 1920 x 1080 Pixeles, USB, Negro",BR-932974,$631.00,$442.00,$99.00,17
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,885.00","$2,589.00",$99.00,2
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,170.00","$2,829.00",$99.00,¡1
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$6,583.00","$5,829.00",Envío gratis,25
"Kit de Teclado y Mouse Dell KM5221W, Inalámbrico, USB, Negro (Español)",580-AJIU,$816.00,$609.00,$99.00,778
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1660 SUPER Phoenix OC, 6GB 192-bit GDDR6, PCI Express 3.0",90YV0DT0-M0AA00,"$5,673.00","$4,899.00",Envío gratis,4
"Kit de Teclado y Mouse Dell KM7321W, Inalámbrico, USB, Gris (Español)",580-AJIY,"$1,554.00","$1,249.00",$99.00,2
"Multifuncional Xerox C235, Color, Laser, Inalámbrico, Print/Copy/Scan/Fax ― Producto podría requerir actualización de Firmware durante el proceso de instalación.",C235/DNI,"$9,939.00","$7,479.00",$219.00,45
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,874.00","$2,589.00",$99.00,33
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$599.00,$99.00,380
"Router Tenda Gigabit Ethernet de Banda Dual Firewall AC8 AC1200, Inalámbrico, 867Mbit/s, 4x RJ-45, 2.4/5GHz, 4 Antenas Externas 6dBi",AC8,$591.00,$408.00,$99.00,¡1
"Monitor Gamer ASUS VG248QG 24"", Full HD, G-Sync, 165Hz, HDMI, Bocinas Integradas (2 x 2W), Negro",90LMGG901Q022E1C,"$3,866.00","$3,469.00",Envío gratis,87
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Gris",M-T220NZAAMXO,"$3,145.00","$2,279.00",$99.00,27
